Am;3;0;0;0;3;0;0;0;0;4;0;0
Am1;0;0;0;0;0;0;0;0;0;4;0;0
Am3;3;0;0;0;0;0;0;0;0;4;0;0
Am5;0;0;0;0;3;0;0;0;0;4;0;0
Am7;3;0;0;0;2;0;0;1;0;4;0;0
Bm;0;0;3;0;0;3;0;0;0;0;0;4
Bm3;0;0;3;0;0;0;0;0;0;0;0;3
Bm5;0;0;3;0;0;3;0;0;0;0;0;4
C;4;0;0;0;3;0;0;3;0;0;0;0
C1;4;0;0;0;0;0;0;0;0;0;0;0
C3;3;0;0;0;3;0;0;0;0;0;0;0
C5;3;0;0;0;0;0;0;3;0;0;0;0
C7;3;0;0;0;3;0;0;3;0;0;2;0
Cm;3;0;0;3;0;0;0;3;0;0;0;0
Cm7;3;0;0;3;0;0;0;3;0;0;1;0
Cmaj7;3;0;0;0;3;0;0;3;0;0;0;1
Csus4;3;0;0;0;0;3;0;3;0;0;0;0
D;0;0;3;0;0;0;3;0;0;3;0;0
D3;0;0;3;0;0;0;3;0;0;0;0;0
D3m;0;0;3;0;0;3;0;0;0;0;0;0
Dm;0;0;4;0;0;3;0;0;0;3;0;0
Dm1;0;0;4;0;0;0;0;0;0;0;0;0
Dm5;0;0;3;0;0;0;0;0;0;3;0;0
Dm7;1;0;4;0;0;2;0;0;0;3;0;0
E;0;0;0;0;3;0;0;0;3;0;0;3
E3;0;0;0;0;3;0;0;0;3;0;0;0
Em;0;0;0;0;4;0;0;3;0;0;0;3
Em1;0;0;0;0;4;0;0;0;0;0;0;0
Em3;0;0;0;0;3;0;0;3;0;0;0;0
Em7;0;0;1;0;4;0;0;2;0;0;0;3
Emaj7;0;0;0;2;3;0;0;0;3;0;0;3
F;3;0;0;0;0;4;0;0;0;3;0;0
F1;0;0;0;0;0;4;0;0;0;0;0;0
F3;0;0;0;0;0;3;0;0;0;3;0;0
F5;3;0;0;0;0;3;0;0;0;0;0;0
F7;3;0;0;2;0;3;0;0;0;3;0;0
Fm;3;0;0;0;0;3;0;0;3;0;0;0
Fm3;0;0;0;0;0;3;0;0;3;0;0;0
G;0;0;3;0;0;0;0;4;0;0;0;3
G1;0;0;0;0;0;0;0;4;0;0;0;0
G3;0;0;0;0;0;0;0;3;0;0;0;3
G5;0;0;3;0;0;0;0;3;0;0;0;0
G7;0;0;3;0;0;2;0;3;0;0;0;3
Gm;0;0;3;0;0;0;0;3;0;0;3;0
Gm3;0;0;0;0;0;0;0;3;0;0;3;0
nothing;0;0;0;0;0;0;0;0;0;0;0;0
